id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1163,DN1399,LA10_1399_2,8.5578,751.1791,LA10_129,2784.2469,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1164,DN1399,LA10_1399_2,7.3952,751.1775,LA10_126,2939.0822,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1165,DN1399,LA10_1399_2,8.2015,751.6809,LA10_164,1831.3758,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1166,DN1399,LA10_1399_2,6.0315,751.6811,LA10_127,3463.4297,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1167,DN1399,LA10_1399_2,10.0370,755.2037,LA10_34,7484.3399,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1168,DN1399,LA10_1399_2,10.0370,756.2087,LA10_34,2424.9721,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1169,DN1399,LA10_1399_2,17.4992,805.2151,LA10_49,16469.6344,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1170,DN1399,LA10_1399_2,18.0789,805.2168,LA10_64,9848.5477,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1171,DN1399,LA10_1399_2,17.4973,805.7161,LA10_49,17887.6103,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1172,DN1399,LA10_1399_2,18.0772,805.7169,LA10_64,8172.4279,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1173,DN1399,LA10_1399_2,17.4973,806.2186,LA10_49,7143.0114,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1174,DN1399,LA10_1399_2,18.0788,806.2191,LA10_64,3958.9720,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
